Order	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;?;?;?	17092	1	14	15	11719	31314	6298	49644	2082	2402	1425	1554	5265	612	0	15	40035	7803	5994	19131	2063	2171	4362	2017	15151	64	7	387	12500	16569	5656	2948	2649	6704	234	4305	10117	61	17	80	5669	13419	4127	8905	3453	2665	3802	10	24466	187	206	1030	13577	3	6224	7683	8543	10039	2567	1401	26205	0	0	19	14652	3403	41590	5998	978	5903	549	4498	3124	0	5	0	15602	586	55212	24846	1925	2372	21	0	7465	37	0	0	38944	9264	883	1895	17270	3202	20	1092	0	5862	0	1124	0
Fungi;Ascomycota;?;?	2853	0	49	34	1897	18496	6407	30202	1782	4374	4032	1322	8920	103	0	5	5984	5045	11023	5777	6380	2458	10324	1401	16368	54	6	94	13578	6305	18879	4633	8791	3794	750	8928	51391	242	73	29	4205	54220	11968	28731	13120	7337	8147	14	62291	346	353	2967	12433	1	17275	13930	14079	16840	755	7473	8780	1	1	63	10223	9088	11218	4741	3900	10754	399	6739	2943	0	14	0	6581	2616	7907	31245	5231	8981	23	0	14401	78	2	0	13373	11515	4315	3044	14271	8288	26	1399	0	6645	0	1472	0
Fungi;Ascomycota;Archaeorhizomycetes;?	15	0	0	0	156	1115	0	1	32	1	0	1	107	0	0	0	13	1	1	2	15	0	1	0	3	0	0	0	0	2	2	0	1	1224	2	5	1	0	0	0	10	2	0	1	8	861	5	0	2	0	0	0	19	0	5	3385	1	2497	0	2	4	0	0	7	0	6	0	12	1	540	29	2	0	0	0	0	0	0	18	2	1945	1	0	0	0	0	0	0	0	4	1	1	4971	730	0	91	0	25	0	214	0
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales	6	0	0	2	2	14	0	0	3	39	747	0	2	11	0	3	1	0	1	1706	1	2	0	0	0	0	0	1	15	2	702	2	0	1	2	0	1	0	0	0	20	119	26	910	0	1	232	0	596	3	0	73	13	0	279	1	3	1	0	0	17	0	0	0	1	3	11	244	602	298	1	0	0	0	0	0	0	2	602	130	3	1	0	0	47	11	0	0	1	3	0	0	33	1	1	25	0	16	0	48	0
Fungi;Ascomycota;Dothideomycetes;?	6777	0	27	16	2066	6526	1999	14927	491	266	2819	1421	1115	52	0	0	4256	6451	2755	22284	8663	1108	9871	1174	4307	19	1	70	1566	2215	7951	2817	2932	1873	488	6622	4477	29	25	4	536	2920	3163	7056	1242	1294	6422	3	5258	110	224	726	2039	1	4839	7268	10198	7643	167	758	4068	0	0	30	7371	2375	2561	1136	3161	2138	110	3331	2539	0	2	0	4324	669	4711	1720	3180	6361	12	0	3978	54	1	0	8123	1196	973	1083	3247	2938	8	538	0	2226	0	504	0
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales	191	0	3	0	88	703	138	103	18	0	177	1216	8	0	0	0	79	138	178	47	564	45	207	407	250	0	0	2	109	264	254	21	11	0	15	3	186	0	0	0	21	123	87	92	2	17	123	0	78	0	0	6	220	0	22	199	73	83	5	15	22	0	0	0	833	23	139	9	194	6	20	1	60	0	0	0	12	1	2	48	13	506	0	0	11	2	0	0	233	324	1	86	30	167	0	28	0	67	0	11	0
Fungi;Ascomycota;Dothideomycetes;Capnodiales	1033	0	1	3	20	182	65	405	266	9	648	25	67	5	0	0	253	193	2160	3455	133	3	186	26	323	205	1	3	123	396	1095	5244	22206	35	123	85	64	25	0	4	58	441	599	877	1102	7	336	0	193	3	2	93	110	0	458	4	431	4	24	16	71	0	0	0	65	33	371	156	40	0	1	76	50	0	0	0	140	27	328	199	94	283	0	0	39	17	0	0	104	30	12	3	370	15	0	20	0	331	0	58	0
Fungi;Ascomycota;Dothideomycetes;Dothideales	149	0	0	0	3	27	104	214	32	0	1548	65	7	0	0	0	49	46	44	8	65	15	55	12	12	0	0	0	23	58	59	0	22	0	83	14	20	0	2	0	1	69	26	0	2	5	45	0	107	2	0	0	14	0	21	1	2	12	2	0	10	0	0	0	35	66	9	4	64	2	0	7	13	0	0	0	18	46	0	6	12	19	1	0	14	24	0	0	29	210	25	1	11	35	0	7	0	27	0	8	0
Fungi;Ascomycota;Dothideomycetes;Incertae sedis	0	0	0	0	3	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	2	4	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	1	0	0	0	0	0	0	10	0	0	1	187	0	0	3	0	2	0	2	0
Fungi;Ascomycota;Dothideomycetes;Jahnulales	15	0	0	0	12	27	0	250	0	1	0	0	13	0	0	0	42	2	1	0	0	2	2	0	1041	0	0	0	12	13	0	0	1	0	0	0	24	0	0	0	1	13	0	0	0	0	1	0	119	2	0	0	1	0	6	196	99	0	3	12	22	0	0	0	1	1	4	5	9	20	0	14	29	0	0	0	7	0	0	0	9	0	0	0	68	0	0	0	28	0	30	0	6	0	0	9	0	5	0	12	0
Fungi;Ascomycota;Dothideomycetes;Patellariales	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	11	11	0	0	0	0	0	17	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Dothideomycetes;Pleosporales	23092	0	13	13	782	4717	3561	3854	4616	824	5816	2643	4713	30	0	2	1773	4913	4930	2922	5760	4032	9560	1611	5704	65	1	95	1193	2471	11971	1504	6560	1509	684	16852	3695	42	43	9	743	3455	3742	5179	2487	912	5684	8	3365	49	572	489	4125	2	4535	5579	12331	8417	192	2551	2404	1	0	16	2925	1186	2691	696	2635	5342	81	8385	1967	0	3	0	5183	1404	1934	2372	2374	6292	21	0	2307	105	0	0	8361	5672	352	1728	2977	5175	13	458	0	1731	0	397	0
Fungi;Ascomycota;Dothideomycetes;Venturiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Dothideomycetes;unidentified	7796	0	1	1	149	512	1902	1072	1780	267	1003	154	114	34	0	0	947	369	1770	1270	15747	73	309	81	3016	68	1	9	226	265	1400	694	8193	4	51	143	285	13	29	0	132	629	576	4437	903	66	372	1	838	47	11	516	75	0	1218	952	1822	356	136	59	568	0	0	3	887	208	2552	366	186	665	8	273	205	0	1	0	616	1079	994	1307	214	276	5	0	2112	19	0	0	736	2703	66	277	2361	2180	3	100	0	545	0	143	0
Fungi;Ascomycota;Eurotiomycetes;?	183	1	5	0	161	1957	1779	5514	231	2269	533	125	184	10	0	3	669	135	2037	1076	1359	306	366	1679	263	6	0	3	450	138	5292	361	1376	636	29	1189	288	11	7	3	284	786	1211	5298	826	859	1390	3	7485	17	37	553	975	5	2663	3529	1856	601	39	269	189	0	0	2	175	2889	570	1142	141	1085	39	392	214	0	1	0	301	135	1129	3210	3696	490	3	0	853	11	0	0	387	744	22	1563	1337	808	5	236	0	717	0	166	0
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales	123	5	1	2	1110	13755	5829	2904	1264	8149	151	79	276	10	0	37	352	138	678	8081	563	524	232	235	1454	17	0	0	5860	135	6249	706	1570	656	69	266	81	179	3	2	293	474	21526	17325	9431	19196	469	1	24908	170	16	1841	299	0	14238	1591	1337	243	397	66	158	0	2	1	87	2473	5684	11784	367	118	269	832	99	0	8	0	193	182	1012	15763	1760	512	13	0	6989	6	4	0	131	366	303	166	40798	262	12	598	0	3070	0	505	0
Fungi;Ascomycota;Eurotiomycetes;Eurotiales	1394	2	439	199	1395	2258	15272	33525	15156	5725	35004	64905	562	54	0	21	12157	1377	19989	18324	15258	2710	14835	20486	812	86	0	43	4266	2595	21399	11771	14197	31761	3229	25266	1783	1446	2012	11	4831	1316	77211	12889	81443	11686	25653	1786	2204	42	903	1372	21454	17	13677	8346	58457	21250	708	17855	3626	1	0	67	2220	5051	11238	6947	45583	15557	71	24588	1367	4	17	0	2682	86212	3573	14415	16005	94043	156	0	826	673	6	0	4069	24873	4901	13586	8601	17380	36	3604	0	6257	0	1604	0
Fungi;Ascomycota;Eurotiomycetes;Incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	125	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Eurotiomycetes;Onygenales	23	0	0	0	25	132	24	448	0	42	41	8	4	0	0	0	4	21	18	76	397	72	233	2	2	0	0	0	45	15	218	38	53	41	0	65	57	0	0	0	15	13	654	164	3	0	103	0	4	0	1	16	70	1	33	57	581	140	0	35	136	0	0	0	21	9	32	96	124	26	4	59	8	0	0	0	61	0	4	74	21	91	0	0	3	2	0	0	40	20	41	9	65	322	0	15	0	28	0	9	0
Fungi;Ascomycota;Eurotiomycetes;unidentified	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32	0	0	0	0	0	3	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	1	0	3	0	3	0	0	0
Fungi;Ascomycota;Incertae sedis;?	11	0	0	3	3	17	121	24	1	1	67	256	3	0	0	0	32	5	41	8	19	24	43	84	193	0	0	0	11	7	14	4	71	69	25	181	3	3	0	0	3	8	130	14	135	21	42	0	62	0	6	2	23	0	18	8	332	52	0	53	16	0	0	0	60	10	34	3	877	44	1	448	3	0	0	0	13	0	45	2	28	144	0	0	32	3	0	0	24	2	9	119	30	16	0	8	0	71	0	8	0
Fungi;Ascomycota;Incertae sedis;Incertae sedis	37	0	0	0	67	733	57	117	124	27	410	151	15	0	0	1	62	83	116	243	521	78	905	132	397	0	0	1	156	86	436	245	70	158	54	371	52	0	0	0	40	106	728	385	15	157	668	0	115	3	16	47	249	0	518	214	268	650	24	56	38	0	0	2	77	68	339	121	188	176	13	1217	41	0	0	0	42	1	84	169	92	560	0	0	56	4	0	0	93	103	27	317	143	269	1	28	0	114	0	23	0
Fungi;Ascomycota;Lecanoromycetes;?	18	0	0	0	37	11	1	1	913	0	1	0	8	0	0	0	1	5	0	10	6	21	0	0	8	0	0	0	0	0	5	0	5	3	1	87	0	0	0	0	1	6	0	811	0	5	4	0	16	0	3	81	0	0	1	49	26	6	0	11	172	0	0	0	8	0	4	4	0	0	0	1	1	0	0	0	15	1	0	0	61	0	0	0	0	0	0	0	9	18	0	0	1483	0	0	24	0	24	0	13	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Ostropales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Pertusariales	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Ascomycota;Leotiomycetes;?	29	0	0	1	18	40	75	2	119	2	50	1	8	1	0	0	19	77	330	1	0	1	189	0	210	0	0	0	21	31	44	0	4	42	10	52	52	0	4	0	9	48	93	141	1	0	155	0	122	0	2	17	25	0	45	0	780	56	2	136	129	0	0	0	1470	20	15	20	96	4	1	320	22	0	0	0	42	140	10	0	0	65	1	0	6	0	0	0	7	0	0	1	0	588	0	8	0	37	0	11	0
Fungi;Ascomycota;Leotiomycetes;Helotiales	44	0	5	0	30	139	42	0	338	163	344	107	14	0	0	0	114	157	170	20	503	25	968	0	251	1	0	2	117	58	511	3	67	305	43	1066	51	0	1	0	26	83	315	20	5	18	504	2	55	4	36	0	161	0	447	200	621	240	17	45	767	0	0	1	231	185	224	25	105	303	4	48	45	0	2	0	165	51	4	582	66	450	2	0	37	3	0	0	603	235	0	33	11	102	0	11	0	72	0	21	0
Fungi;Ascomycota;Leotiomycetes;Incertae sedis	0	0	0	0	0	2	0	121	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	7	9	0	0	0	0	6	4	0	0	0	0	0	4	0	0	0	58	0	0	0	0	0	0	0	15	0	0	0	2	5	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	19	0	0	1	0	0	0	0	2	0	2	0
Fungi;Ascomycota;Leotiomycetes;Thelebolales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Orbiliomycetes;?	664	0	1	0	5	499	94	1	1	2	1	122	43	0	0	0	6	14	4997	32	2	26	0	19	23	0	0	0	56	402	921	0	6	42	2	0	109	0	0	1	13	172	636	4	1	2	0	0	458	0	0	0	307	0	54	105	43	0	10	25	412	0	0	0	105	8	65	47	1	1	10	3	5	0	0	0	364	1	2	13	4	104	0	0	6	0	0	0	213	43	0	1	5	0	0	5	0	45	0	14	0
Fungi;Ascomycota;Orbiliomycetes;Orbiliales	18	0	0	0	39	6	0	0	2	2	0	71	2	5	0	0	5	1	112	1	2	2	13	0	30	0	0	0	6	40	116	0	1	0	1	0	9	0	0	0	5	13	4211	1	0	0	45	0	4	0	0	0	79	0	0	65	382	0	0	8	1	0	0	0	15	1	21	31	3	0	0	0	5	0	0	0	14	1	320	0	0	0	0	0	0	0	0	0	15	0	0	0	1397	0	0	0	0	23	0	7	0
Fungi;Ascomycota;Orbiliomycetes;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	10	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Pezizomycetes;?	74	0	0	0	14360	1707	259	415	4	9	0	0	218	0	0	0	800	823	10	5	2175	20	81	0	33	0	0	111	276	53	905	33	28	0	4	1	182	7	1	0	29	733	5	314	142	0	102	0	82	15	0	26	11	0	47	614	1	0	7	3	239	0	0	0	121	151	37	285	13	26	38	64	326	0	0	0	208	75	30	4	56	17	1	0	341	1	0	0	12437	1434	2	22	13	711	0	12	0	222	0	262	0
Fungi;Ascomycota;Pezizomycetes;Pezizales	23	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	7	7	1	0	0	0	26	85	42	0	0	1	2	1	0	0	11	198	0	1	0	2	0	0	0	4	0	1	283	0	0	0	1	0	0	0	5	0	1	0	0	30	0	0	0	0	0	0	4	0	1	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	61	19	0	0	0	0	0	2	0	5	0	0	0
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales	6	0	1	0	39	8	64	124	4	8	14	120	3	0	0	0	9	2	19	31	17	6	4	2	42	1325	0	0	45	6	10	11	199155	8	7	8	18	18	0	0	4	9	2	155	856	3	16	2	18	1	1	10	8	0	9	39	465	34	6	175	21	0	0	0	3	4	78	17	9	5	0	9	11	0	0	0	12	15	4	11	7	13	4	0	7	0	0	0	7	29	3	13	1430	8	3	248	0	939	0	163	0
Fungi;Ascomycota;Sordariomycetes;?	918	0	26	2	337	1869	1951	4408	977	2028	2619	512	362	5	0	0	2093	2394	7057	335	2860	348	6450	433	1894	14	2	14	4398	1955	40894	848	1461	408	636	1924	8388	61	3	14	459	1528	43954	4481	3732	426	8376	5	1822	40	74	476	6024	0	35843	3712	4512	1088	926	3673	10478	0	1	6	4387	268	15828	740	109	2074	38	1908	696	0	29	0	590	250	567	661	359	6753	4	0	1452	51	0	0	1193	392	222	2915	1617	5288	4	300	0	1541	0	382	0
Fungi;Ascomycota;Sordariomycetes;Boliniales	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Calosphaeriales	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1	5	1	0	0	0	0	0	53	0	0	52	0	25	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	4	0	0	0	3	3	1	4	0	0	0	1100	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	4	10	0	9	0	0	0	3	0	3	0	0	0
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Coniochaetales	28	0	1	2	3	53	0	1	18	2	124	0	2	0	0	0	1	8	3	3	96	0	279	16	4	0	0	1	23	93	1358	0	9	1	1	179	3	0	0	0	2	10	29	0	1	13	26	2	2	0	4	0	189	0	6	0	60	2256	0	0	14	0	0	6	9	0	3	6	248	511	1	0	1	0	0	0	8	0	0	1	1	169	0	0	10	2	0	0	18	5	1	0	29	37	0	11	0	16	0	11	0
Fungi;Ascomycota;Sordariomycetes;Diaporthales	33	0	12	0	97	19	6	5	823	0	286	144	5	1	0	0	12	93	339	84	312	14	2405	521	26	0	0	0	3309	97	4656	1	58	43	137	109	49	3	0	1	100	73	1112	21	171	3	3884	1	20	0	3	2	45	0	923	19	65	52	281	102	42	0	0	1	189	25	4200	63	67	0	0	50	18	0	2	0	70	1	16	3	30	3078	2	0	23	11	0	0	107	35	1	119	3087	956	0	54	0	232	0	64	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales	2909	1	56	34	3685	7111	9274	7841	11755	1422	23812	14569	1242	53	0	3	6738	6779	27043	5431	31771	3268	13004	8746	5608	70	3	182	6429	4855	26697	6371	6475	6141	1094	20218	2864	146	36	16	2060	4360	5525	17562	7778	2721	18014	35	4972	108	690	2080	13924	7	6885	34918	12507	15745	2428	8797	7783	1	1	57	3883	8428	37570	2043	8026	10094	139	17566	2979	0	2	0	6023	1466	3828	7193	52500	14449	10	0	3252	449	2	0	19402	6427	392	35851	5923	37965	18	2063	0	5157	0	1426	0
Fungi;Ascomycota;Sordariomycetes;Incertae sedis	46	0	0	1	12	127	529	1427	3	47	1	469	96	2	0	0	100	35	398	766	68	32	2	149	54	3	0	4	24	54	149	916	729	476	3	84	268	0	0	0	24	31	36	105	0	22	15	0	119	2	2	10	59	0	78	552	733	9	107	2	271	0	0	0	126	107	1523	47	88	440	4	62	130	0	0	0	29	9	279	50	439	138	0	0	228	0	0	0	96	33	6	299	291	229	1	51	0	99	0	27	0
Fungi;Ascomycota;Sordariomycetes;Microascales	5	0	0	0	11	9	72	142	0	2	0	8	0	0	0	0	3	7	1	6	40	0	70	0	5	0	0	6	9	1	6	81	2	5	0	46	57	0	0	0	0	0	23	39	0	8	0	0	43	2	2	5	4	0	37	1067	53	2	0	100	1	0	0	0	1	0	2	87	1	78	0	16	4	0	0	0	0	0	2	1	12	47	0	0	27	0	0	0	95	2	0	2776	0	27	0	26	0	31	0	6	0
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	92	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	21	0	1	0	3	0	1	0
Fungi;Ascomycota;Sordariomycetes;Sordariales	1872	3	71	32	12161	8583	10006	18544	1681	786	5248	14278	8456	33	0	4	4827	5069	7611	5922	7954	7084	6672	11382	5293	35	1	175	1977	5214	8911	14930	3991	12812	774	17169	3163	613	164	25	5533	5909	1555	17513	36465	12227	14945	14	4150	819	563	2037	8416	8	3029	20809	20327	11415	802	4185	5474	0	2	30	4447	2420	12511	1589	7493	2800	181	33133	4350	0	1	0	5858	6289	2584	2567	6618	15179	22	0	31362	101	5	0	18253	6398	1111	9465	9980	11179	11	1500	0	2929	0	974	0
Fungi;Ascomycota;Sordariomycetes;Trichosphaeriales	15	0	0	1	5	129	94	1	3224	0	0	3	15	0	0	0	107	12	38	2	6	20	0	0	24	0	0	1	18	21	138	1	8	0	1	15	6	0	0	0	4	31	83	0	0	1	16	0	47	2	0	0	38	0	38	1001	341	1	1	99	125	0	0	0	44	9	18	21	44	46	5	0	21	0	0	0	2	0	2	2	1	8	0	0	35	0	0	0	84	57	48	0	74	38	0	1	0	33	0	6	0
Fungi;Ascomycota;Sordariomycetes;Xylariales	829	0	7	10	54	279	268	334	1281	71	1009	330	79	2	0	2	149	399	199	270	1558	223	1205	446	340	13	0	4	171	286	696	176	1392	133	3844	830	119	50	8	0	69	218	262	671	2987	643	1019	0	13026	2	28	98	285	2	183	387	2740	807	9	77	173	2	0	9	247	743	236	218	1576	977	8	367	254	0	1	0	462	218	211	213	230	1835	3	0	172	25	0	0	652	490	31	209	354	780	4	144	0	330	0	98	0
Fungi;Ascomycota;Sordariomycetes;unidentified	119	0	0	1	22	312	190	129	1095	7	219	534	62	20	0	0	699	537	124	108	6	39	352	111	103	12	0	3	70	346	385	458	1060	88	92	196	215	0	0	2	136	153	813	1	4	0	270	1	44	1	7	3	135	0	35	568	1280	142	20	44	136	0	0	1	218	51	228	91	34	473	5	166	17	0	0	0	1829	1	816	77	39	557	0	0	63	1	0	0	479	34	2	4	14	142	1	28	0	159	0	31	0
Fungi;Ascomycota;Taphrinomycetes;Taphrinales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0
Fungi;Ascomycota;unidentified;?	81	0	0	5	40	1396	128	282	0	155	1	31	67	2	0	0	428	187	178	3	61	121	32	2	63	0	0	1	153	41	1439	13	11	1	107	31	112	27	0	1	6	102	83	2	1658	52	116	0	343	5	2	1	124	0	144	516	198	22	3	47	225	0	0	0	100	14	54	61	865	321	26	20	54	0	0	0	131	0	137	0	27	10	0	0	153	0	0	0	207	170	2	17	118	344	0	18	0	82	0	23	0
Fungi;Ascomycota;unidentified;unidentified	914	1	74	89	870	3307	17054	1512	18192	3255	19381	1609	603	4	0	14	1375	2882	3245	2873	5678	2357	5513	5593	1460	20	2	47	1852	2094	7590	2124	2014	1342	77866	10508	5259	52	26	5	8970	2789	4809	13481	3183	816	10744	13	1447	68	369	1554	38242	1	2915	13176	6458	4627	694	3990	8610	15	0	9	1273	16105	9856	3685	17871	14847	49	8772	1049	1	3	1	1664	1031	264	19673	5303	13663	7	0	1220	424	1	0	7198	13692	90292	11584	860	6689	11	2787	0	6368	0	1502	0
Fungi;Basidiomycota;?;?	39888	0	14	53	11486	20237	34739	361	2329	73	8091	6945	7510	2	0	0	9175	22039	1665	675	2939	237	1175	50953	14942	45	3	96	10770	50070	3333	824	2044	36	250	18637	96170	110	286	202	2498	35575	1895	398	6324	126	8914	197	8669	643	600	64	758	22	14663	643	2594	1099	1447	4390	55868	0	0	3	11511	426	20048	3049	528	1856	352	361	30184	0	10	0	137981	11669	148	4704	292	2894	87	0	25526	167	0	1	10402	2715	216	178	713	561	15	2082	0	5879	0	1115	0
Fungi;Basidiomycota;Agaricomycetes;?	2368	0	4	6	42	1062	209	226	697	79	290	7	52	43	0	0	57	2570	101	20	2372	88	1097	2637	467	20	0	35	4597	5008	1053	508	921	43	70	1466	3948	12	109	29	46	31091	13105	384	523	42	12738	9	10069	7	37	63	374	0	78340	1917	2348	120	3158	74	2211	0	0	0	72	661	51471	1124	94	388	13	27	188	0	62	0	4780	4165	2751	13322	161	786	26	0	113	4	0	0	4116	333	31	102	151	798	2	307	0	1330	0	307	0
Fungi;Basidiomycota;Agaricomycetes;Agaricales	3321	0	78	8	2667	32442	8210	29924	18338	29387	2265	1631	13307	328	0	6	69004	137046	23609	117311	34245	80487	2849	3302	30741	665	16	365	13611	3783	61061	75184	79764	1712	307595	5479	162431	1147	112	23	1858	69550	4547	63899	56910	3571	3725	23	43172	3672	256	7463	23382	10	53218	27107	6639	2478	429	1901	63102	72	4	5	23584	5545	7341	7022	1043	5026	680	3689	109602	1	44	0	6834	4686	23671	1183	1584	6611	175489	0	153203	44	2	0	43347	53388	632	8286	10927	33448	59	4959	0	15145	0	2615	0
