Genus	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Incertae sedis;Tremella	2	0	0	2	0	1	0	1	136	0	64	16	0	0	0	0	0	0	1	61	0	33	0	19	4	0	0	0	1	0	1	0	0	0	0	22	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	7	0	0	7	1	0	28	0	0	3	0	0	0	6	0	5	0	114	1	0	65	4	0	0	0	17	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	3	0	0	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Asterotremella	0	0	0	0	0	0	0	1	25	0	92	0	0	0	0	0	0	6	2	0	0	0	8	0	0	0	0	0	3	0	19	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	28	0	2	0	2	0	0	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cryptotrichosporon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	64	197	1	21	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	1	0
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	6	0	0	0
Fungi;Basidiomycota;Tremellomycetes;unidentified;unidentified;unidentified	0	0	0	6	3	15	37	27	1162	280	0	39	1	5	0	0	6	5	8	691	103	9	85	46	133	0	0	0	0	4	7	623	6	1	4	0	9	40	3	1	0	2	4	20	2165	23	130	530	89	0	0	1	3	1	17	861	463	1	15	0	29	0	0	0	8	5	95	40	725	1	1	32	0	2	0	0	7	185	712	3	8	7	1	0	0	0	0	0	11	1	3	10	3	0	2	16	0	97	0	23	0
Fungi;Basidiomycota;Ustilaginomycetes;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;?;?	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;?	0	0	0	0	1	11	0	0	0	0	0	0	1	0	0	0	3	9	61	0	3	0	0	0	2	0	0	0	3	0	8	0	1	0	0	8	1	0	0	0	0	3	14	0	0	0	8	0	4	0	0	0	12	0	2	0	0	0	1	1	8	0	0	0	1	5	33	0	0	0	0	0	3	0	0	0	3	0	0	4	0	15	0	0	0	0	0	0	1	0	0	4	0	8	0	1	0	0	0	1	0
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Ustilago	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	1	0	2	0	0	0
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;unidentified	6	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	56	0	10	0	0	0	0	0	5	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	1	0
Fungi;Basidiomycota;Wallemiomycetes;Geminibasidiales;?;?	0	0	0	0	0	0	31	1	2	23	0	0	0	0	0	0	21	0	33	23	0	7	0	3	3	0	0	0	13	0	15	11	16	0	0	2	5	0	0	0	33	0	2	35	0	0	0	0	30	0	0	3	3	0	22	173	2	0	8	0	0	0	0	0	0	32	141	35	2	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	13	0	0	0	1	8	0	28	0	0	0	2	0	1	0	0	0
Fungi;Basidiomycota;Wallemiomycetes;Geminibasidiales;Geminibasidiaceae;?	3	0	0	19	12	3	48	5	39	28	20	22	18	0	0	0	70	0	85	29	38	5	4	41	14	0	0	1	18	8	28	5	25	4	0	52	4	0	0	0	40	1	7	29	0	1	5	1	34	1	2	3	8	0	27	105	172	0	8	0	9	0	0	0	0	21	277	46	6838	4	0	15	3	0	0	0	2	2	0	36	171	15	3	0	11	0	0	0	8	6	1	37	163	10	0	36	0	4	0	8	0
Fungi;Basidiomycota;Wallemiomycetes;Geminibasidiales;Geminibasidiaceae;Geminibasidium	42	0	4	100	39	98	4666	409	1554	3286	1050	289	52	0	0	18	3833	77	3550	2582	603	797	101	1572	841	28	1	6	1816	54	2243	724	2968	126	19	2653	320	0	10	2	2435	72	250	3779	8	32	246	8	4209	25	77	416	592	1	2567	12451	3180	14	1285	131	334	0	2	0	77	2787	20147	5896	22438	131	4	499	388	0	4	0	293	229	12	3006	725	358	7	0	1104	14	0	0	251	742	109	3032	839	309	14	581	0	1232	0	246	0
Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	0	1	2	0	3	3	0	0	0	4	0	0	11	0	5	1	387	0	0	0	4	46	3	0	0	1	1	1	2342	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	18	2	0	1	0	1	0	0	0	0	158	1	2	168	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	27	0	5	0
Fungi;Basidiomycota;unidentified;unidentified;unidentified;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	388	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	296	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	8	0	0	0
Fungi;Basidiomycota;unidentified;unidentified;unidentified;unidentified	3	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	3	5	2	0	0	0	0	0	16	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	3	0	0	0
Fungi;Chytridiomycota;?;?;?;?	209	0	6	9	185	424	2200	764	481	207	2455	357	298	9	0	2	412	387	464	6061	2739	554	675	380	473	28	0	9	199	289	647	318	2547	139	39	701	760	8	0	1	233	289	801	1765	381	662	724	2	776	15	30	206	947	0	349	1346	1294	401	69	80	534	0	0	1	157	1336	821	174	1685	1072	5	628	219	0	0	0	223	22	515	971	204	1164	7	0	260	41	0	0	836	741	287	481	473	903	7	158	0	319	0	67	0
Fungi;Chytridiomycota;Chytridiomycetes;?;?;?	21	0	2	3	17	70	601	126	33	73	471	100	13	0	0	0	21	301	363	3224	537	63	189	25	99	0	0	3	26	34	714	17	31	47	35	89	172	0	1	0	86	58	147	233	87	83	187	0	95	2	5	43	138	0	127	937	296	65	34	38	48	0	0	0	26	493	447	117	125	440	1	39	24	0	0	0	28	3	3	193	18	234	3	0	57	13	0	0	158	206	59	90	3	91	1	54	0	81	0	7	0
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;?;?	1	0	0	0	41	33	1	0	2443	2	0	10	1	1	0	0	7	0	0	1529	1	41	0	0	2	0	0	0	1	2	105	0	4	0	0	0	149	9	0	0	1	0	5	19	309	0	0	0	40	0	0	2	0	0	1	282	0	0	0	0	62	0	0	0	1	7	0	12	2	0	0	0	12	0	0	0	1	1	89	0	1	0	0	0	0	0	0	0	60	1	31	0	4	0	0	1	0	10	0	4	0
Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;?	0	0	0	0	0	1	0	0	0	17	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	13	0	27	0	0	0	0	0	1	0	0	0	10	0	12	0	3	0	2	0	0	0	0	0	0	24	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	90	0	0	0	0	0	1	0	2	0
Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Spizellomycetaceae;Spizellomyces	13	0	0	0	18	66	0	64	1	0	0	39	2	0	0	0	26	11	1	2	66	0	41	0	195	0	0	0	0	504	3	0	3	0	0	441	22	0	0	1	0	13	0	2	0	0	0	0	20	0	16	1	27	0	3	0	110	14	2	0	4	0	0	0	17	0	18	2	1	95	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	72	0	0	0	0	16	0	4	0	14	0	0	0
Fungi;Chytridiomycota;Monoblepharidomycetes;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Chytridiomycota;unidentified;unidentified;unidentified;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	58	0	0	0	0	0	42	3	0	163	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	2	0	0	1	0	13	0	0	0	0	0	0	0	0	43	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	36	0	0	0	6	0	1	0
Fungi;Glomeromycota;?;?;?;?	423	0	0	2	67	1436	12	623	264	2	0	0	47	0	0	0	1514	86	2	1	1	8	0	1	447	0	0	2	109	346	479	1	17	0	3	2	189	0	3	0	34	267	2615	1497	5	0	1	0	1556	19	3	147	58	0	69	232	1048	0	11	0	572	0	0	0	226	3	147	71	13	3	31	1	95	0	0	0	171	150	78	31	4	4	0	0	590	0	0	0	140	238	0	6	5	0	1	9	0	98	0	19	0
Fungi;Glomeromycota;Glomeromycetes;?;?;?	311	0	0	0	18	275	64	194	1	2	0	0	36	0	0	0	716	8	3	3	2	2	0	0	697	0	1	0	50	13	1362	397	20	0	4	22	67	0	0	0	2	493	2425	774	1	0	2	0	1234	4	0	101	24	0	444	711	0	0	13	0	844	0	0	0	402	1	136	42	5	0	3	0	44	0	0	0	48	1	3	0	6	0	0	0	218	0	0	0	98	5	1	3	19	0	1	2	0	79	0	15	0
Fungi;Glomeromycota;Glomeromycetes;Diversisporales;Acaulosporaceae;Acaulospora	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Glomeromycota;Glomeromycetes;Diversisporales;Gigasporaceae;Gigaspora	0	0	0	0	1	0	35	0	0	0	0	0	1	0	0	0	33	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;?;?	15	0	0	0	10	2355	0	341	2	0	0	0	14	0	0	0	448	22	0	0	0	7	0	0	3	0	0	0	70	6	112	1	2	0	0	2	943	0	0	0	0	130	1200	842	5	0	0	0	153	0	1	85	181	0	43	258	713	0	12	0	147	0	0	0	13	1	211	35	3	0	32	0	11	0	0	1	147	0	4	1	0	7	0	0	92	0	0	0	418	0	0	2	2	0	0	3	0	41	0	8	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus	0	0	0	0	12	38	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;?	1	0	0	0	4	5	3	597	0	0	0	0	0	0	0	0	29	10	0	0	0	0	0	0	2	0	0	2	88	1	22	0	0	0	0	0	3	0	0	0	1	11	996	0	0	0	1	0	559	5	2	0	12	0	692	0	573	0	5	0	34	0	0	0	5	0	100	46	2	0	0	0	30	0	0	0	0	1	0	1	0	0	0	0	89	0	0	0	4	0	0	0	0	0	0	0	0	24	0	4	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	4	2	0	0	2	0	1	0	0	0	0	0	4	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus	0	0	0	0	1	8	9	0	0	0	0	0	0	0	0	0	308	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	34	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	5	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;unidentified	18	0	0	0	0	371	2	0	1	1	0	0	2	0	0	0	112	55	152	0	0	3	0	0	1	0	0	0	35	43	1654	0	1	1	0	0	18	0	0	0	30	29	1063	0	2	0	0	0	1225	3	0	0	25	0	1242	2	0	0	14	0	8	0	0	0	32	0	196	24	1	0	14	0	44	0	3	0	37	0	1	0	2	0	0	0	63	0	0	0	12	9	2	3	2	0	0	11	0	33	0	14	0
Fungi;Glomeromycota;Glomeromycetes;unidentified;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Glomeromycota;Glomeromycetes;unidentified;unidentified;?	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	116	0	0	0	24	0	0	0	13	0	1	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Fungi;Glomeromycota;Glomeromycetes;unidentified;unidentified;unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Glomeromycota;unidentified;unidentified;unidentified;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Incertae sedis;?;?;?;?	76	0	0	0	1	9	0	1	0	0	0	0	0	0	0	0	6	4	7	0	0	0	0	0	4	0	0	0	0	1	31	0	0	0	0	8	13	3	0	0	0	0	9	0	177	0	0	0	64	0	0	0	0	0	0	5	0	1	0	0	4	0	0	0	5	1	0	1	1	0	1	26	7	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	17	0	0	0	6	0	2	0	2	0	1	0
Fungi;Incertae sedis;Incertae sedis;Incertae sedis;Incertae sedis;Medicopsis	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	4	1	0	1	0	12	0	165	0	0	0	0	0	11	0	0	0	1	19	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	480	4	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	0	8	0	2	0
Fungi;Rozellomycota;?;?;?;?	0	0	0	0	0	13	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Fungi;Rozellomycota;unidentified;?;?;?	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
